,type,JI,source
86,snps,0.570071,WGS_WUX_2023_2_TNseq_strelka.isecVSARD_WGS_2023_1_TNseq_strelka.isec
87,indels,0.509887,WGS_WUX_2023_2_TNseq_strelka.isecVSARD_WGS_2023_1_TNseq_strelka.isec
88,snps,0.179357,WGS_WUX_2021_1_TNseq_strelka.isec.HCRVSBGI_T7_WGS_2023_1_TNseq_strelka.isec
89,indels,0.171471,WGS_WUX_2021_1_TNseq_strelka.isec.HCRVSBGI_T7_WGS_2023_1_TNseq_strelka.isec
90,snps,0.564186,WGE_WGS_2023_1_TNseq_strelka.isecVSBGI_T10_WGS_2021_3_TNseq_strelka.isec
91,indels,0.691388,WGE_WGS_2023_1_TNseq_strelka.isecVSBGI_T10_WGS_2021_3_TNseq_strelka.isec
92,snps,0.0876664,BGI_T10_WGS_2023_1_TNseq_strelka.isecVSBGI_T20_WGS_2021_2_TNseq_strelka.isec.HCR
93,indels,0.206718,BGI_T10_WGS_2023_1_TNseq_strelka.isecVSBGI_T20_WGS_2021_2_TNseq_strelka.isec.HCR
94,snps,0.127286,WGE_WGS_2023_1_TNseq_strelka.isec.HCRVSBGI_T20_WGS_2021_1_TNseq_strelka.isec.HCR
95,indels,0.541591,WGE_WGS_2023_1_TNseq_strelka.isec.HCRVSBGI_T20_WGS_2021_1_TNseq_strelka.isec.HCR
96,snps,0.110524,BGI_T20_WGS_2021_3_TNseq_strelka.isecVSBGI_T10_WGS_2021_2_TNseq_strelka.isec.HCR
97,indels,0.241968,BGI_T20_WGS_2021_3_TNseq_strelka.isecVSBGI_T10_WGS_2021_2_TNseq_strelka.isec.HCR
98,snps,0.486679,WGE_WGS_2023_1_TNseq_strelka.isec.HCRVSWGS_WUX_2021_3_TNseq_strelka.isec.HCR
99,indels,0.30544,WGE_WGS_2023_1_TNseq_strelka.isec.HCRVSWGS_WUX_2021_3_TNseq_strelka.isec.HCR
100,snps,0.616328,WGS_WUX_2021_2_TNseq_strelka.isecVSWGS_WUX_2021_1_TNseq_strelka.isec
101,indels,0.423767,WGS_WUX_2021_2_TNseq_strelka.isecVSWGS_WUX_2021_1_TNseq_strelka.isec
102,snps,0.38292,ARD_WGS_2023_1_TNseq_strelka.isec.HCRVSWGS_WUX_2021_2_TNseq_strelka.isec.HCR
103,indels,0.331929,ARD_WGS_2023_1_TNseq_strelka.isec.HCRVSWGS_WUX_2021_2_TNseq_strelka.isec.HCR
104,snps,0.191262,BGI_T10_WGS_2023_1_TNseq_strelka.isecVSBGI_T10_WGS_2021_1_TNseq_strelka.isec.HCR
